pressure,humidity,cloudcover,wind_gust,temperature_humidity_index,month,wind_direction,quarter,temperature_range,wind_speed,hour,is_day
0.3243,1.00394,-2.13471,-1.11353,-0.74484,0.1477,1.52146,0.0581,-0.18565,0.47445,-1.40681,-1.05578
-0.2583,1.15539,0.71014,-0.06846,-1.12829,0.1477,0.88396,0.0581,-0.18565,-0.47716,-1.40681,-1.05578
0.033,1.38257,0.71014,0.30361,-1.40274,0.1477,1.44032,0.0581,-0.18565,-0.53185,-1.40681,-1.05578
0.033,0.85248,0.71014,0.51426,-0.63893,0.1477,1.67214,0.0581,-0.18565,0.70962,-1.40681,-1.05578
0.3243,-0.05626,0.71014,2.39923,-0.40367,0.1477,1.03464,0.0581,-0.18565,2.53627,-1.40681,-1.05578
0.3243,0.92821,0.71014,2.05999,-1.13929,0.1477,0.87237,0.0581,-0.18565,0.45257,-1.40681,-1.05578
0.3243,0.54957,0.71014,0.78511,-1.07392,0.1477,0.69851,0.0581,-0.18565,-0.40606,-1.40681,-1.05578
0.3243,0.54957,0.71014,1.98339,-1.01081,0.1477,0.98828,0.0581,-0.18565,1.13073,-1.40681,-1.05578
-0.5496,0.85248,0.71014,1.57028,-0.96195,0.1477,0.75646,0.0581,-0.18565,0.38148,-1.40681,-1.05578
0.3243,0.54957,0.71014,0.83162,-0.6321,0.1477,0.73328,0.0581,2.93059,-0.52638,-1.40681,-1.05578
0.3243,0.85248,-0.07219,-0.05478,-0.80967,0.1477,1.49827,0.0581,-0.18565,0.01505,-1.40681,-1.05578
1.4895,1.30685,0.53234,-0.78797,-3.91332,0.1477,-1.61966,0.0581,-0.18565,-0.76155,-1.40681,-1.05578
0.6156,1.23112,0.71014,-0.80712,-1.13144,0.1477,-2.25716,0.0581,-0.18565,-0.8928,-1.40681,-1.05578
-0.5496,0.70102,0.71014,-0.12318,-1.30306,0.1477,0.66373,0.0581,-0.18565,-0.23652,-1.40681,-1.05578
0.3243,1.00394,0.71014,0.48417,-1.93044,0.1477,1.02305,0.0581,-0.18565,-0.85999,-1.40681,-1.05578
